source,target
10.13039/501100000781,259112
10.13039/501100000781,606786
10.13039/501100000781,295412
10.13039/501100000781,220527
10.13039/501100000781,336355
10.13039/501100000781,322737
10.13039/501100000781,291377
10.13039/501100000781,615897
10.13039/501100000781,267333
10.13039/501100000781,316758
10.13039/501100000781,323413
10.13039/501100000781,338804
10.13039/501100000781,340185
10.13039/501100000781,335220
10.13039/501100000781,245145
10.13039/501100000781,300371
10.13039/501100000781,230374
10.13039/501100000781,293662
10.13039/501100000781,291147
10.13039/501100000781,291339
10.13039/501100000781,306277
10.13039/501100000781,279632
10.13039/501100000781,313421
10.13039/501100000781,638946
10.13039/501100000781,290843
10.13039/501100000781,295907
10.13039/501100000781,639209
10.13039/501100000781,339341
10.13039/501100000781,239694
10.13039/501100000781,295644
10.13039/501100000781,240885
10.13039/501100000781,281297
10.13039/501100000781,309782
10.13039/501100000781,242792
10.13039/501100000781,322206
10.13039/501100000781,281668
10.13039/501100000781,311523
10.13039/501100000781,313502
10.13039/501100000781,639276
10.13039/501100000781,205557
10.13039/501100000781,291734
10.13039/501100000781,260242
10.13039/501100000781,294333
10.13039/501100000781,614779
10.13039/501100000781,637960
10.13039/501100000781,670103
10.13039/501100000781,307499
10.13039/501100000781,240750
10.13039/501100000781,291085
10.13039/501100000781,646840
10.13039/501100000781,259612
10.13039/501100000781,284181
10.13039/501100000781,261063
10.13039/501100000781,615274
10.13039/501100000781,263501
10.13039/501100000781,313871
10.13039/501100000781,307998
10.13039/501100000781,263890
10.13039/501100000781,267382
10.13039/501100000781,329024
10.13039/501100000781,260997
10.13039/501100000781,310898
10.13039/501100000781,294653
10.13039/501100000781,336267
10.13039/501100000781,637995
10.13039/501100000781,320815
10.13039/501100000781,313398
10.13039/501100000781,614705
10.13039/501100000781,647849
10.13039/501100000781,320404
10.13039/501100000781,329622
10.13039/501100000781,258642
10.13039/501100000781,323674
10.13039/501100000781,322698
10.13039/501100000781,610055
10.13039/501100000781,260368
10.13039/501100000781,322551
10.13039/501100000781,625671
10.13039/501100000781,647209
10.13039/501100000781,640156
10.13039/501100000781,320389
10.13039/501100000781,269019
10.13039/501100000781,247220
10.13039/501100000781,669982
10.13039/501100000781,232997
10.13039/501100000781,269067
10.13039/501100000781,667526
10.13039/501100000781,339109
10.13039/501100000781,281986
10.13039/501100000781,260797
10.13039/501100000781,228421
10.13039/501100000781,678834
10.13039/501100000781,290568
10.13039/501100000781,263707
10.13039/501100000781,230267
10.13039/501100000781,320659
10.13039/501100000781,644814
10.13039/501100000781,311477
10.13039/501100000781,233232
10.13039/501100000781,310325
10.13039/501100000781,278872
10.13039/501100000781,282111
10.13039/501100000781,281524
10.13039/501100000781,284464
10.13039/501100000781,313172
10.13039/501100000781,249968
